GI? MUA,GI? B?N,Buy,Sell
5673,5703,0.000229725,-0.000152277
5673,5693,0,-0.000762188
5670,5695,-0.000229725,0.000152545
5655,5685,-0.00115045,-0.000763259
5652,5677,-0.000230456,-0.000611575
5645,5670,-0.000538207,-0.000535835
5660,5690,0.001152485,0.001529208
5675,5702,0.001149435,0.000914947
5680,5700,0.00038247,-0.000152357
5678,5696,-0.000152948,-0.000304875
5697,5720,0.001450831,0.001826048
5700,5725,0.000228636,0.000379462
5690,5720,-0.000762589,-0.000379462
5695,5725,0.000381462,0.000379462
5685,5755,-0.000763259,0.002269837
5675,5750,-0.000764603,-0.000377483
5675,5750,0,0
5670,5745,-0.000382807,-0.000377812
5660,5735,-0.000766628,-0.000756611
5665,5740,0.000383483,0.00037847
5685,5760,0.001530555,0.001510591
5675,5750,-0.000764603,-0.000754639
5675,5750,0,0
5675,5750,0,0
5690,5755,0.001146401,0.000377483
5690,5755,0,0
5680,5745,-0.000763931,-0.000755295
5680,5745,0,0
5685,5750,0.000382133,0.000377812
5685,5750,0,0
5680,5745,-0.000382133,-0.000377812
5660,5730,-0.001531905,-0.001135411
5650,5720,-0.000767983,-0.000758593
5665,5735,0.001151466,0.001137393
5670,5740,0.000383145,0.00037847
5655,5725,-0.00115045,-0.001136401
5655,5725,0,0
5650,5720,-0.000384161,-0.000379462
5650,5720,0,0
5660,5732,0.000767983,0.000910153
5655,5725,-0.000383822,-0.000530691
5630,5700,-0.001924214,-0.001900635
5630,5700,0,0
5630,5700,0,0
5630,5700,0,0
5625,5695,-0.000385868,-0.000381127
5620,5690,-0.000386211,-0.000381462
5620,5690,0,0
5640,5710,0.001542788,0.001523842
5655,5725,0.001153505,0.001139383
5655,5725,0,0
5655,5725,0,0
5665,5735,0.000767305,0.000757931
5665,5735,0,0
5655,5725,-0.000767305,-0.000757931
5655,5725,0,0
5645,5715,-0.000768663,-0.000759256
5645,5715,0,0
5640,5710,-0.000384842,-0.000380126
5650,5720,0.000769344,0.000759921
5645,5715,-0.000384502,-0.000379794
5635,5705,-0.000770026,-0.000760586
5640,5710,0.000385184,0.000380459
5645,5715,0.000384842,0.000380126
5645,5715,0,0
5645,5715,0,0
5670,5740,0.001919113,0.001895658
5670,5740,0,0
5670,5740,0,0
5665,5735,-0.000383145,-0.00037847
5675,5745,0.000765952,0.000756611
5675,5745,0,0
5675,5745,0,0
5675,5745,0,0
5650,5720,-0.001917418,-0.001894004
5655,5725,0.000384161,0.000379462
5660,5730,0.000383822,0.000379131
5660,5730,0,0
5660,5730,0,0
5660,5730,0,0
5655,5725,-0.000383822,-0.000379131
5665,5735,0.000767305,0.000757931
5660,5770,-0.000383483,0.002642391
5590,5660,-0.005404623,-0.008359382
5600,5665,0.000776219,0.000383483
5600,5665,0,0
5615,5680,0.001161734,0.001148422
5645,5710,0.002314186,0.002287773
5650,5715,0.000384502,0.000380126
5670,5735,0.001534611,0.001517188
5640,5705,-0.002303955,-0.002277773
5635,5700,-0.000385184,-0.000380793
5635,5700,0,0
5635,5700,0,0
5645,5710,0.000770026,0.000761253
5635,5695,-0.000770026,-0.00114238
5625,5685,-0.000771394,-0.000763259
5660,5720,0.002693904,0.00266556
5660,5720,0,0
5655,5715,-0.000383822,-0.000379794
5670,5740,0.00115045,0.001895658
5670,5740,0,0
5670,5740,0,0
5680,5750,0.000765277,0.000755952
5715,5785,0.002667899,0.002635519
5710,5780,-0.000380126,-0.000375525
5750,5780,0.003031736,0
5745,5780,-0.000377812,0
5760,5795,0.00113245,0.001125602
5770,5805,0.00075333,0.000748784
5755,5795,-0.001130485,-0.000748784
5750,5790,-0.000377483,-0.000374877
5715,5755,-0.00265161,-0.002633236
5720,5750,0.000379794,-0.000377483
5730,5760,0.000758593,0.000754639
5735,5765,0.0003788,0.000376828
5750,5785,0.001134422,0.001504052
5760,5795,0.000754639,0.000750077
5760,5800,0,0.000374553
5780,5810,0.001505355,0.000748139
5780,5805,0,-0.000373908
5770,5800,-0.000752025,-0.000374231
5780,5810,0.000752025,0.000748139
5800,5835,0.001500155,0.001864728
5800,5837,0,0.000148833
5795,5830,-0.000374553,-0.000521139
5805,5840,0.000748784,0.000744292
5800,5825,-0.000374231,-0.001116917
5795,5825,-0.000374553,0
5790,5825,-0.000374877,0
5800,5830,0.00074943,0.000372625
5815,5845,0.001121726,0.001115961
5803,5830,-0.000897148,-0.001115961
5820,5850,0.001270414,0.001487311
5835,5860,0.001117876,0.00074175
5835,5860,0,0
5855,5885,0.001486039,0.001848851
5885,5920,0.002219568,0.00257524
5895,5930,0.000737342,0.000732987
5955,6000,0.004397956,0.005096557
5980,6040,0.001819418,0.002885688
6020,6060,0.002895307,0.001435686
6005,6055,-0.00108348,-0.000358477
6030,6080,0.0018043,0.001789432
6120,6195,0.00643411,0.008137731
6115,6175,-0.000354961,-0.001404349
6120,6170,0.000354961,-0.000351798
6000,6080,-0.008600172,-0.006381585
5940,5990,-0.004364805,-0.006476757
5935,5980,-0.000365722,-0.000725638
5925,5980,-0.000732369,0
5915,5975,-0.000733606,-0.000363274
5930,5990,0.001099944,0.001088913
5970,6020,0.002919638,0.002169669
6030,6090,0.004342981,0.005020801
6025,6065,-0.000360261,-0.001786487
6010,6050,-0.001082579,-0.001075431
6015,6055,0.00036116,0.000358773
