Buy,Sell
-0.000229927,-0.000228716
0.000765952,0.00076192
-0.000382807,0
0.000229725,-0.000152277
0,-0.000762188
-0.000229725,0.000152545
-0.00115045,-0.000763259
-0.000230456,-0.000611575
-0.000538207,-0.000535835
0.001152485,0.001529208
0.001149435,0.000914947
0.00038247,-0.000152357
-0.000152948,-0.000304875
0.001450831,0.001826048
0.000228636,0.000379462
-0.000762589,-0.000379462
0.000381462,0.000379462
-0.000763259,0.002269837
-0.000764603,-0.000377483
0,0
-0.000382807,-0.000377812
-0.000766628,-0.000756611
0.000383483,0.00037847
0.001530555,0.001510591
-0.000764603,-0.000754639
0,0
0,0
0.001146401,0.000377483
0,0
-0.000763931,-0.000755295
0,0
0.000382133,0.000377812
0,0
-0.000382133,-0.000377812
-0.001531905,-0.001135411
-0.000767983,-0.000758593
0.001151466,0.001137393
0.000383145,0.00037847
-0.00115045,-0.001136401
0,0
-0.000384161,-0.000379462
0,0
0.000767983,0.000910153
-0.000383822,-0.000530691
-0.001924214,-0.001900635
0,0
0,0
0,0
-0.000385868,-0.000381127
-0.000386211,-0.000381462
0,0
0.001542788,0.001523842
0.001153505,0.001139383
0,0
0,0
0.000767305,0.000757931
0,0
-0.000767305,-0.000757931
0,0
-0.000768663,-0.000759256
0,0
-0.000384842,-0.000380126
0.000769344,0.000759921
-0.000384502,-0.000379794
-0.000770026,-0.000760586
0.000385184,0.000380459
0.000384842,0.000380126
0,0
0,0
0.001919113,0.001895658
0,0
0,0
-0.000383145,-0.00037847
0.000765952,0.000756611
0,0
0,0
0,0
-0.001917418,-0.001894004
0.000384161,0.000379462
0.000383822,0.000379131
0,0
0,0
0,0
-0.000383822,-0.000379131
0.000767305,0.000757931
-0.000383483,0.002642391
-0.005404623,-0.008359382
0.000776219,0.000383483
0,0
0.001161734,0.001148422
0.002314186,0.002287773
0.000384502,0.000380126
0.001534611,0.001517188
-0.002303955,-0.002277773
-0.000385184,-0.000380793
0,0
0,0
0.000770026,0.000761253
-0.000770026,-0.00114238
-0.000771394,-0.000763259
0.002693904,0.00266556
0,0
-0.000383822,-0.000379794
0.00115045,0.001895658
0,0
0,0
0.000765277,0.000755952
0.002667899,0.002635519
